           0  -0.611432   0.000  0.000  0.000  
         100  -1.534643   0.056  0.596  0.000  
         200  -1.522299   0.060  0.601  0.000  
         300  -1.509346   0.062  0.604  0.000  
         400  -1.510388   0.063  0.605  0.000  
         500  -1.507497   0.064  0.606  0.000  
         600  -1.507534   0.065  0.606  0.000  
         700  -1.502846   0.066  0.607  0.000  
         800  -1.501626   0.066  0.607  0.000  
         900  -1.500213   0.066  0.608  0.000  
        1000  -1.495432   0.067  0.608  0.000  
